dt,ts,lat,lng,thoroughfare,place_name
2017-06-22,1498134404994,-8.107952,-34.91534,"Rua Itacari, 425 em Imbiribeira",Ipsep Pecas Usadas
2017-06-07,1496854248180,-8.077576,-34.899277,"Avenida Imperial, 2018 em São José",Andrade Auto Peças
2017-06-09,1497011062813,-8.027236,-34.896133,Avenida Professor José dos Anjos,Via Sul Arruda - Concessionária Fiat
2017-06-30,1498858952344,-8.054745,-34.897986,Avenida Governador Agamenon Magalhães,Toyolex Veículos
2017-06-15,1496785149617,-8.041519,-34.937461,"Av Caxangá, 3515",R C Veículos
2017-06-18,1497778323817,-8.126867,-34.913961,Rua Nestor Moreira,Import Service
2017-06-08,1496926897921,-8.111251,-34.901173,Viaduto Dom João VI,Mar Veiculos
2017-06-29,1498758764318,-8.084968,-34.884454,Rua Ivonete Ferreira da Silva,Pass Garagge
2017-06-09,1496677565884,-8.092834,-34.909102,"Avenida Marechal Mascarenhas de Morais, 1096 em Imbiribeira",Meira Lins - Concessionária Volkswagen
2017-06-17,1497719098096,-8.114489,-34.913951,Rua Jaçanã,Via Norte
2017-06-29,1498766952195,-8.06726,-34.909136,Rua Gurupé,Pateo - Concessionária Hyundai
2017-06-17,1497702582113,-8.041124,-34.886512,Rua Doutor Joaquim Arruda Falcão,Moto Show
2017-06-30,1498855123285,-8.12513,-34.902619,Rua Carlos Pereira Falcão,Gustavo Fernandes de Carvalho
2017-06-26,1498473101327,-8.080334,-34.933466,Avenida Recife,Pscar Multimarcas
2017-06-15,1497554629184,-8.041798,-34.891393,Avenida João de Barros,Dirigindo Bem
2017-06-08,1496977651950,-8.087061,-34.886889,Avenida Herculano Bandeira,Alberico Automoveis
2017-06-27,1498591800252,-8.039076,-34.890182,"Av Norte, 2170",Renault Regence
2017-06-07,1496768053798,-8.115834,-34.896726,Rua Francisco da Cunha 919,Will Estética de Autos
2017-06-28,1498664565134,-8.08598,-34.895788,Avenida República Árabe Unida,Onibos Indo Pra Casa
2017-06-15,1497517253113,-8.107954,-34.911534,Avenida Marechal Mascarenhas de Morais,Troller
